filename,filetype,malicious,polyglot,zero_day,time_to_detect_1,time_to_detect_2
file-56,PE32,True,False,True,,1035.461
file-57,PE32,True,False,True,,
file-58,PE32,True,False,True,,
file-59,PDF,True,False,False,,
file-60,JAR,True,True,False,,
file-61,JAR,True,False,False,,15.262
file-62,JAR,True,False,False,,
file-63,PDF,True,False,False,30.324,1346.508
file-64,PDF,True,False,False,,1329.303
file-65,PE32,True,False,False,,14.135
file-66,PE32,True,False,True,,
file-67,JAR,True,True,False,,
file-68,PE32,True,False,True,,485.225
file-69,PE64,True,False,False,,284.927
file-70,JAR,True,False,False,,
file-71,PE32,True,False,False,101.483,
file-72,PE32,True,False,False,28.444,14.411
file-73,JAR,True,False,False,,290.967
file-74,PDF,True,False,False,,
file-75,JAR,True,False,False,344.0,267.962
file-76,PDF,True,False,False,,826.172
file-77,PDF,True,False,False,,143.021
file-78,PE32,True,False,True,,247.031
file-79,JAR,True,False,False,110.0,257.745
file-80,PDF,True,False,False,,
file-81,PE64,True,False,False,64.669,232.669
file-82,PDF,True,False,False,9.324,427.875
file-83,PE64,True,False,False,27.483,243.506
file-84,PDF,True,False,False,44.324,1166.29
file-85,JAR,True,True,False,,
file-86,Office,True,False,False,51.857,1960.508
file-87,PE64,True,False,False,,14.77
file-88,PE32,True,False,True,,
file-89,JAR,True,False,False,,
file-90,PDF,True,False,False,,320.036
file-91,PE32,True,False,False,,
file-92,PDF,True,False,False,19.324,17.5
file-93,PE32,True,False,True,,
file-94,PE64,True,False,False,,367.55
file-95,PE64,True,False,False,60.575,641.575
file-96,Office,True,False,False,23.974,14.711
file-97,PE64,True,False,False,74.047,14.762
file-98,PDF,True,False,False,,
file-99,PE32,True,False,False,81.017,
file-100,JAR,True,True,False,,
file-101,PE32,True,False,False,81.444,567.685
file-102,PE32,True,False,False,79.444,
file-103,PE64,True,False,False,22.483,
file-104,PE32,True,False,False,,
file-105,Office,True,False,False,,2496.438
file-106,PDF,True,False,False,,
file-107,PE32,True,False,True,,
file-108,JAR,True,False,False,30.0,100.535
file-109,PE32,True,False,True,,
file-110,Office,True,False,False,,3746.828
file-111,PE64,True,False,False,,
file-112,JAR,True,False,False,,
file-113,PE32,True,False,False,81.283,
file-114,PE32,True,False,False,,429.237
file-115,PE32,True,False,False,,
file-116,JAR,True,False,False,,
file-117,PE64,True,False,False,52.619,15.03
file-118,Office,True,False,False,,
file-119,PDF,True,False,False,,
file-120,JAR,True,False,False,,177.172
file-121,PE32,True,False,False,,988.471
file-122,JAR,True,False,False,,
file-123,PE32,True,False,True,,
file-124,JAR,True,False,False,,303.862
file-125,Office,True,False,False,54.857,
file-126,PE32,True,False,True,,666.829
file-127,Office,True,False,False,,15.312
file-128,PE32,True,False,True,,
file-129,Office,True,False,False,,
file-130,Office,True,False,False,38.857,1456.521
file-131,PE32,True,False,False,,1309.691
file-132,Office,True,False,False,,2518.273
file-133,Office,True,False,False,28.857,980.0
file-134,PE32,True,False,False,12.444,466.753
file-135,JAR,True,False,False,,231.58
file-136,PE32,True,False,True,,
file-137,PDF,True,False,False,36.324,1266.359
file-138,PE32,True,False,False,20.95,775.95
file-139,Office,True,False,False,22.974,14.69
file-140,PE32,True,False,True,,
file-141,JAR,True,False,False,,
file-142,JAR,True,True,False,,
file-143,PE32,True,False,False,82.444,559.627
file-144,Office,True,False,False,32.974,2776.166
file-145,PE32,True,False,True,,
file-146,PE64,True,False,False,65.648,510.648
file-147,PE32,True,False,False,63.786,1096.786
file-148,JAR,True,False,False,,
file-149,PE64,True,False,False,68.125,15.174
file-150,JAR,True,False,False,,
file-151,PE64,True,False,False,,362.312
file-152,JAR,True,False,False,,
file-153,PDF,True,False,False,,
file-154,PE32,True,False,False,,
file-155,PE64,True,False,False,,506.857
file-156,PE32,True,False,False,46.073,11.699
file-157,PE32,True,False,False,12.444,469.596
file-158,PE32,True,False,True,,
file-159,JAR,True,False,False,,
file-160,PE32,True,False,False,69.585,450.585
file-161,PE64,True,False,False,,14.759
file-162,JAR,True,False,False,,
file-163,PE32,True,False,True,,
file-164,PE64,True,False,False,88.597,428.597
file-165,PE32,True,False,False,81.444,
file-166,PE32,True,False,False,39.444,
file-167,JAR,True,False,False,,
file-168,PE64,True,False,False,,
file-169,PE32,True,False,True,,410.577
file-170,PE32,True,False,True,,
file-171,PE32,True,False,True,,
file-172,PE32,True,False,True,,
file-173,PE32,True,False,True,,492.875
file-174,JAR,True,False,False,,15.259
file-175,JAR,True,False,False,,
file-176,PE32,True,False,True,,
file-177,Office,True,False,False,34.999,1547.121
file-178,PDF,True,False,False,37.324,1257.569
file-179,JAR,True,False,False,,
file-180,PE64,True,False,False,133.223,14.893
file-181,Office,True,False,False,,14.712
file-182,PE64,True,False,False,74.144,
file-183,Office,True,False,False,,15.255
file-184,JAR,True,False,False,,
file-185,Office,True,False,False,,15.279
file-186,PE64,True,False,False,,521.065
file-187,PE32,True,False,False,103.343,
file-188,PDF,True,False,False,12.486,
file-189,JAR,True,False,False,128.0,233.994
file-190,PE32,True,False,True,,837.353
file-191,PE64,True,False,False,,
file-192,JAR,True,True,False,,
file-193,Office,True,False,False,29.974,14.679
file-194,PE64,True,False,False,101.838,
file-195,Office,True,False,False,,15.293
file-196,JAR,True,True,False,,
file-197,PE32,True,False,True,,
file-198,PE64,True,False,False,67.068,287.068
file-199,PE32,True,False,False,68.966,
file-200,JAR,True,True,False,,
file-201,JAR,True,True,False,,
file-202,Office,True,False,False,,14.69
file-203,JAR,True,False,False,,15.298
file-204,PE64,True,False,False,,15.162
file-205,PE64,True,False,False,32.483,173.777
file-206,PE32,True,False,False,60.966,11.759
file-207,PE64,True,False,False,,15.123
file-208,PDF,True,False,False,,
file-209,PE32,True,False,True,,502.097
file-210,PDF,True,False,False,29.324,762.99
file-211,JAR,True,False,False,,302.379
file-212,PE64,True,False,False,,696.481
file-213,PE32,True,False,True,,18.097
file-214,PE32,True,False,True,,
file-215,PE32,True,False,False,13.444,
file-216,PE32,True,False,False,,1523.677
file-217,JAR,True,True,False,,
file-218,PE32,True,False,True,,1004.262
file-219,PE32,True,False,True,74.171,
file-220,Office,True,False,False,14.999,3860.229
file-221,PE64,True,False,False,,15.189
file-222,JAR,True,False,False,,
file-223,JAR,True,False,False,,
file-224,PE32,True,False,True,,
file-225,Office,True,False,False,35.857,1490.613
file-226,Office,True,False,False,26.974,14.682
file-227,Office,True,False,False,,343.457
file-228,PE32,True,False,True,,
file-229,PE32,True,False,True,,
file-230,PE64,True,False,False,,633.686
file-231,PE32,True,False,False,67.444,686.287
file-232,JAR,True,False,False,,
file-233,PE32,True,False,True,,
file-234,PDF,True,False,False,35.324,1284.917
file-235,Office,True,False,False,41.974,3547.631
file-236,PE32,True,False,False,84.444,14.146
file-237,JAR,True,False,False,,
file-238,JAR,True,True,False,,
file-239,PE32,True,False,True,,
file-240,PE32,True,False,True,,
file-241,PE32,True,False,False,60.881,11.687
file-242,PE32,True,False,False,50.228,
file-243,JAR,True,True,False,,
file-244,JAR,True,True,False,,
file-245,PE64,True,False,False,48.826,15.23
file-246,PE32,True,False,True,,503.286
file-247,JAR,True,False,False,,218.909
file-248,PDF,True,False,False,38.324,1252.347
file-249,PE32,True,False,True,,
file-250,PE64,True,False,False,,529.526
file-251,PE32,True,False,False,54.652,1341.652
file-252,JAR,True,False,False,,246.61
file-253,PE64,True,False,False,16.483,15.139
file-254,PE32,True,False,True,68.153,
file-255,JAR,True,True,False,,
file-256,Office,True,False,False,,3057.316
file-257,PDF,True,False,False,15.324,650.52
file-258,PE32,True,False,False,70.966,1181.042
file-259,PDF,True,False,False,,
file-260,JAR,True,False,False,,
file-261,JAR,True,False,False,,15.304
file-262,JAR,True,False,False,,
file-263,PE32,True,False,True,13.591,281.591
file-264,Office,True,False,False,,14.678
file-265,PE32,True,False,True,,18.115
file-266,PE64,True,False,False,53.886,
file-267,JAR,True,False,False,,
file-268,PE32,True,False,True,,
file-269,PDF,True,False,False,,17.483
file-270,PE64,True,False,False,,
file-271,Office,True,False,False,,3308.479
file-272,PE32,True,False,True,46.243,373.243
file-273,PE64,True,False,False,,
file-274,PE64,True,False,False,29.483,215.874
file-275,PDF,True,False,False,17.486,
file-276,PDF,True,False,False,,
file-277,PDF,True,False,False,,1357.064
file-278,APT,True,False,False,22.571,388.308
file-279,PE32,True,False,True,,
file-280,JAR,True,True,False,,
file-281,PE32,True,False,False,46.133,572.133
file-282,Office,True,False,False,43.857,
file-283,PE64,True,False,False,,15.128
file-284,PE64,True,False,False,,210.618
file-285,PE32,True,False,False,,
file-286,Office,True,False,False,,
file-287,PE32,True,False,True,54.669,381.669
file-288,PE32,True,False,False,61.922,11.767
file-289,PE64,True,False,False,84.695,366.695
file-290,PE32,True,False,True,,459.316
file-291,PE32,True,False,True,,18.098
file-292,PE32,True,False,True,,18.105
file-293,PE32,True,False,True,75.066,18.119
file-294,PE64,True,False,False,64.679,408.679
file-295,PE32,True,False,True,,522.526
file-296,JAR,True,True,False,,
file-297,PE32,True,False,False,66.444,
file-298,PE32,True,False,True,76.976,
file-299,PE32,True,False,True,,
file-300,PE64,True,False,False,44.483,
file-301,PE32,True,False,False,56.444,
file-302,JAR,True,False,False,,15.286
file-303,PE32,True,False,True,,
file-304,PE32,True,False,False,80.444,
file-305,Office,True,False,False,,14.697
file-306,JAR,True,False,False,,
file-307,APT,True,False,False,61.094,
file-308,JAR,True,True,False,,
file-309,JAR,True,False,False,,15.408
file-310,PE64,True,False,False,,652.766
file-311,JAR,True,False,False,,
file-312,PE32,True,False,False,70.469,
file-313,PDF,True,False,False,,
file-314,PDF,True,False,False,,
file-315,PE32,True,False,True,,
file-316,PDF,True,False,False,21.324,580.735
file-317,PE32,True,False,False,47.444,505.093
file-318,PDF,True,False,False,45.324,1141.287
file-319,PDF,True,False,False,,780.846
file-320,PE32,True,False,False,,11.723
file-321,PE64,True,False,False,,556.787
file-322,PDF,True,False,False,39.324,1228.96
file-323,JAR,True,False,False,,
file-324,JAR,True,False,False,,
file-325,Office,True,False,False,23.857,15.255
file-326,PE32,True,False,False,,
file-327,Office,True,False,False,,1737.065
file-328,JAR,True,False,False,,15.307
file-329,JAR,True,False,False,,
file-330,Office,True,False,False,49.999,15.568
file-331,APT,True,False,False,,
file-332,PE64,True,False,False,,298.221
file-333,Office,True,False,False,,14.699
file-334,JAR,True,True,False,,
file-335,JAR,True,False,False,,356.911
file-336,PE32,True,False,True,63.688,
file-337,PE32,True,False,True,,454.138
file-338,PE64,True,False,False,,15.166
file-339,PDF,True,False,False,25.324,818.486
file-340,PE32,True,False,True,,
file-341,Office,True,False,False,,2552.602
file-342,Office,True,False,False,,1429.053
file-343,PE32,True,False,False,80.444,14.153
file-344,PDF,True,False,False,,386.152
file-345,JAR,True,False,False,,
file-346,JAR,True,False,False,,
file-347,Office,True,False,False,9.999,
file-348,PDF,True,False,False,17.324,17.461
file-349,PE32,True,False,False,,
file-350,Office,True,False,False,19.999,
file-351,PDF,True,False,False,20.324,17.482
file-352,PE64,True,False,False,,659.092
file-353,JAR,True,True,False,,
file-354,PDF,True,False,False,,244.062
file-355,PE32,True,False,True,,467.502
file-356,PE32,True,False,False,27.966,11.685
file-357,PDF,True,False,False,21.324,17.477
file-358,PE32,True,False,False,,1214.535
file-359,PE32,True,False,False,51.966,1234.244
file-360,PE64,True,False,False,,14.762
file-361,Office,True,False,False,34.974,3039.142
file-362,Office,True,False,False,54.857,
file-363,JAR,True,True,False,,
file-364,Office,True,False,False,,14.695
file-365,Office,True,False,False,34.974,14.708
file-366,PE32,True,False,False,78.444,14.21
file-367,PE32,True,False,True,,
file-368,PDF,True,False,False,,
file-369,PE64,True,False,False,,
file-370,Office,True,False,False,,1515.633
file-371,PE32,True,False,True,,257.823
file-372,PE64,True,False,False,114.093,388.093
file-373,PE32,True,False,True,49.665,196.665
file-374,Office,True,False,False,15.974,1186.229
file-375,Office,True,False,False,27.974,
file-376,PE32,True,False,False,69.696,918.696
file-377,Office,True,False,False,,3497.759
file-378,PDF,True,False,False,,216.89
file-379,PE32,True,False,False,73.444,14.2
file-380,Office,True,False,False,18.999,15.296
file-381,PDF,True,False,False,,
file-382,PE32,True,False,False,,11.822
file-383,PE32,True,False,True,,587.144
file-384,PE32,True,False,False,29.966,1093.441
file-385,PE32,True,False,False,116.301,14.153
file-386,PE32,True,False,False,,11.751
file-387,PDF,True,False,False,40.324,1223.771
file-388,PE32,True,False,False,,11.818
file-389,Office,True,False,False,,1017.525
file-390,Office,True,False,False,,2797.81
file-391,PE64,True,False,False,99.774,14.759
file-392,PDF,True,False,False,15.486,310.481
file-393,Office,True,False,False,12.999,282.836
file-394,JAR,True,False,False,,
file-395,Office,True,False,False,,14.693
file-396,Office,True,False,False,,3744.339
file-397,PE32,True,False,False,104.611,1138.611
file-398,JAR,True,False,False,,
file-399,PE32,True,False,False,38.444,
file-400,PE32,True,False,True,,
file-401,PE32,True,False,False,72.444,14.142
file-402,PE64,True,False,False,,620.271
file-403,PE64,True,False,False,,
file-404,PE32,True,False,True,,497.361
file-405,PDF,True,False,False,9.324,17.469
file-406,PE32,True,False,True,,375.554
file-407,Office,True,False,False,49.974,4039.047
file-408,PDF,True,False,False,,
file-409,PE64,True,False,False,62.01,650.01
file-410,PDF,True,False,False,,
file-411,PE64,True,False,False,,202.335
file-412,Office,True,False,False,,
file-413,JAR,True,False,False,,343.283
file-414,PDF,True,False,False,17.324,628.587
file-415,PDF,True,False,False,26.324,17.488
file-416,JAR,True,False,False,,
file-417,Office,True,False,False,,2006.335
file-418,Office,True,False,False,,1561.959
file-419,PE32,True,False,True,,243.334
file-420,JAR,True,False,False,,
file-421,JAR,True,False,False,,
file-422,PE64,True,False,False,27.483,248.864
file-423,PE32,True,False,True,,
file-424,PE32,True,False,False,,11.726
file-425,JAR,True,False,False,,299.559
file-426,PE64,True,False,False,,
file-427,JAR,True,True,False,,
file-428,Office,True,False,False,43.974,14.714
file-429,PDF,True,False,False,40.324,1226.347
file-430,Office,True,False,False,37.974,5096.976
file-431,PE64,True,False,False,77.765,417.765
file-432,PE64,True,False,False,67.462,14.726
file-433,PE32,True,False,False,44.444,
file-434,PE32,True,False,True,,
file-435,PE32,True,False,False,15.444,
file-436,Office,True,False,False,16.974,14.704
file-437,PE64,True,False,False,,14.72
file-438,PE32,True,False,True,,527.724
file-439,PE32,True,False,True,,211.041
file-440,JAR,True,True,False,,
file-441,PE64,True,False,False,,519.26
file-442,PE64,True,False,False,,598.484
file-443,JAR,True,False,False,,
file-444,PE64,True,False,False,,
file-445,PE64,True,False,False,30.503,14.736
file-446,JAR,True,False,False,,
file-447,Office,True,False,False,,526.907
file-448,JAR,True,False,False,,
file-449,JAR,True,True,False,,
file-450,PE32,True,False,True,,18.06
file-451,PE64,True,False,False,27.483,
file-452,PDF,True,False,False,22.324,564.969
file-453,PDF,True,False,False,,617.777
file-454,PE64,True,False,False,,
file-455,PE32,True,False,False,77.444,
file-456,PE32,True,False,True,,
file-457,PE32,True,False,False,,14.144
file-458,PE64,True,False,False,,492.302
file-459,PE32,True,False,False,,11.786
file-460,JAR,True,False,False,,
file-461,JAR,True,False,False,,
file-462,PE32,True,False,True,75.742,399.742
file-463,JAR,True,False,False,,
file-464,PE32,True,False,True,,491.197
file-465,PE32,True,False,False,,871.004
file-466,PDF,True,False,False,29.324,767.847
file-467,PE32,True,False,True,,
file-468,PE64,True,False,False,,610.118
file-469,PE32,True,False,False,132.279,
file-470,PDF,True,False,False,11.324,17.489
file-471,PE64,True,False,False,28.125,15.318
file-472,PDF,True,False,False,,17.488
file-473,Office,True,False,False,,14.704
file-474,PE64,True,False,False,,111.638
file-475,JAR,True,False,False,,
file-476,PDF,True,False,False,,
file-477,JAR,True,True,False,,
file-478,PE64,True,False,False,,14.738
file-479,JAR,True,False,False,,
file-480,PDF,True,False,False,,
file-481,PDF,True,False,False,,
file-482,PDF,True,False,False,,
file-483,PE32,True,False,False,,
file-484,JAR,True,False,False,341.0,
file-485,JAR,True,False,False,,
file-486,PE32,True,False,True,,
file-487,PDF,True,False,False,46.324,17.507
file-488,PE64,True,False,False,,373.825
file-489,JAR,True,False,False,,15.313
file-490,PDF,True,False,False,,
file-491,PE32,True,False,True,84.01,311.01
file-492,PE64,True,False,False,,109.136
file-493,JAR,True,False,False,,
file-494,JAR,True,False,False,,
file-495,JAR,True,True,False,,
file-496,JAR,True,True,False,,
file-497,PE64,True,False,False,,256.848
file-498,PE32,True,False,False,39.873,966.873
file-499,PE32,True,False,True,,
file-500,PE32,False,False,False,,22.381
file-501,Office,False,False,False,,
file-502,Office,False,False,False,,
file-503,Office,False,False,False,,
file-504,JAR,False,False,False,,
file-505,PE64,False,False,False,,
file-506,Office,False,False,False,,
file-507,PE32,False,False,False,,
file-508,JAR,False,False,False,,
file-509,PE64,False,False,False,,
file-510,PE64,False,False,False,,
file-511,PE32,False,False,False,,
file-512,PE64,False,False,False,,
file-513,JAR,False,False,False,,
file-514,Office,False,False,False,,
file-515,PDF,False,False,False,,
file-516,PDF,False,False,False,,
file-517,PE32,False,False,False,,
file-518,PE64,False,False,False,,
file-519,PDF,False,False,False,,
file-520,PDF,False,False,False,,
file-521,PDF,False,False,False,,
file-522,Office,False,False,False,,
file-523,PE64,False,False,False,,
file-524,PE64,False,False,False,,
file-525,Office,False,False,False,,
file-526,PDF,False,False,False,,
file-527,PE64,False,False,False,,
file-528,PDF,False,False,False,,
file-529,PE32,False,False,False,,
file-530,PE32,False,False,False,,22.342
file-531,Office,False,False,False,,
file-532,PE32,False,False,False,,
file-533,PE64,False,False,False,,
file-534,Office,False,False,False,,
file-535,Office,False,False,False,,
file-536,JAR,False,False,False,,
file-537,Office,False,False,False,,
file-538,PDF,False,False,False,,
file-539,PE32,False,False,False,,
file-540,PE32,False,False,False,,
file-541,JAR,False,False,False,,
file-542,Office,False,False,False,,
file-543,PE64,False,False,False,,
file-544,JAR,False,False,False,,
file-545,JAR,False,False,False,,
file-546,PE64,False,False,False,,
file-547,PDF,False,False,False,,
file-548,Office,False,False,False,,
file-549,JAR,False,False,False,,
file-550,PE32,False,False,False,,
file-551,PE64,False,False,False,,
file-552,Office,False,False,False,,
file-553,PE32,False,False,False,,
file-554,JAR,False,False,False,,
file-555,Office,False,False,False,,
file-556,JAR,False,False,False,,
file-557,PE32,False,False,False,,22.336
file-558,JAR,False,False,False,,
file-559,Office,False,False,False,,
file-560,Office,False,False,False,,
file-561,PDF,False,False,False,,
file-562,JAR,False,False,False,,
file-563,PE32,False,False,False,,
file-564,PE64,False,False,False,,
file-565,PE64,False,False,False,,
file-566,PE64,False,False,False,,
file-567,Office,False,False,False,,
file-568,Office,False,False,False,,
file-569,PE32,False,False,False,,
file-570,PE32,False,False,False,,22.711
file-571,JAR,False,False,False,,
file-572,PDF,False,False,False,,
file-573,Office,False,False,False,,
file-574,PDF,False,False,False,,
file-575,PE64,False,False,False,,
file-576,PE32,False,False,False,,
file-577,PDF,False,False,False,,
file-578,Office,False,False,False,,
file-579,JAR,False,False,False,,
file-580,PE32,False,False,False,,22.356
file-581,PDF,False,False,False,,
file-582,Office,False,False,False,,
file-583,JAR,False,False,False,,
file-584,PDF,False,False,False,,
file-585,PE32,False,False,False,,
file-586,Office,False,False,False,,
file-587,PE64,False,False,False,,
file-588,Office,False,False,False,,
file-589,Office,False,False,False,,
file-590,JAR,False,False,False,,
file-591,PE32,False,False,False,,
file-592,Office,False,False,False,,
file-593,PE32,False,False,False,,
file-594,Office,False,False,False,,
file-595,Office,False,False,False,,
file-596,Office,False,False,False,,
file-597,JAR,False,False,False,,
file-598,JAR,False,False,False,,
file-599,PDF,False,False,False,,
file-600,PE64,False,False,False,,
file-601,PE32,False,False,False,,
file-602,PDF,False,False,False,,
file-603,PE64,False,False,False,,
file-604,PE64,False,False,False,,
file-605,Office,False,False,False,,
file-606,PDF,False,False,False,,
file-607,PE32,False,False,False,,
file-608,PE32,False,False,False,,749.768
file-609,PE64,False,False,False,,
file-610,PE64,False,False,False,,
file-611,PE64,False,False,False,,
file-612,JAR,False,False,False,,
file-613,PDF,False,False,False,,
file-614,PE64,False,False,False,,
file-615,PE32,False,False,False,,
file-616,PE32,False,False,False,,
file-617,PE64,False,False,False,,
file-618,PE32,False,False,False,,
file-619,PDF,False,False,False,,
file-620,PE64,False,False,False,,
file-621,PE32,False,False,False,,
file-622,PDF,False,False,False,,
file-623,Office,False,False,False,,
file-624,Office,False,False,False,,
file-625,Office,False,False,False,,
file-626,PDF,False,False,False,,
file-627,PE64,False,False,False,,
file-628,PDF,False,False,False,,
file-629,PE64,False,False,False,,
file-630,PE32,False,False,False,29.284,22.376
file-631,PE64,False,False,False,,
file-632,JAR,False,False,False,,
file-633,PDF,False,False,False,,
file-634,JAR,False,False,False,,
file-635,JAR,False,False,False,,
file-636,PE32,False,False,False,,
file-637,PDF,False,False,False,,
file-638,PE64,False,False,False,,
file-639,PE64,False,False,False,,
file-640,PDF,False,False,False,,
file-641,PDF,False,False,False,,
file-642,PE64,False,False,False,,
file-643,Office,False,False,False,,
file-644,PE32,False,False,False,,
file-645,PE64,False,False,False,,
file-646,JAR,False,False,False,,
file-647,Office,False,False,False,,
file-648,PDF,False,False,False,,
file-649,Office,False,False,False,,
file-650,Office,False,False,False,,
file-651,JAR,False,False,False,,
file-652,PE32,False,False,False,64.536,
file-653,PE64,False,False,False,,
file-654,PDF,False,False,False,,
file-655,JAR,False,False,False,,
file-656,PDF,False,False,False,,
file-657,JAR,False,False,False,,
file-658,PE32,False,False,False,,22.386
file-659,PDF,False,False,False,,
file-660,PE64,False,False,False,,
file-661,PE32,False,False,False,,
file-662,Office,False,False,False,,
file-663,Office,False,False,False,,
file-664,PDF,False,False,False,,
file-665,PE64,False,False,False,,
file-666,Office,False,False,False,,
file-667,PE32,False,False,False,,
file-668,Office,False,False,False,,
file-669,PDF,False,False,False,,
file-670,Office,False,False,False,,
file-671,PDF,False,False,False,,
file-672,PE32,False,False,False,,
file-673,PE32,False,False,False,,
file-674,Office,False,False,False,,
file-675,Office,False,False,False,,
file-676,JAR,False,False,False,,
file-677,PDF,False,False,False,,
file-678,Office,False,False,False,,
file-679,PDF,False,False,False,,
file-680,PE64,False,False,False,,
file-681,PE32,False,False,False,,
file-682,PE64,False,False,False,,
file-683,PDF,False,False,False,,
file-684,PDF,False,False,False,,
file-685,JAR,False,False,False,,
file-686,PE64,False,False,False,,
file-687,PE64,False,False,False,,
file-688,PE64,False,False,False,,
file-689,PE32,False,False,False,,
file-690,Office,False,False,False,,
file-691,PE32,False,False,False,,22.388
file-692,PDF,False,False,False,,
file-693,PE64,False,False,False,,
file-694,JAR,False,False,False,,
file-695,Office,False,False,False,,
file-696,PDF,False,False,False,,
file-697,JAR,False,False,False,,
file-698,Office,False,False,False,,
file-699,PE64,False,False,False,,
file-700,PE64,False,False,False,,
file-701,Office,False,False,False,,
file-702,PE32,False,False,False,,
file-703,PE32,False,False,False,,
file-704,PDF,False,False,False,,
file-705,JAR,False,False,False,,
file-706,PDF,False,False,False,,
file-707,PE32,False,False,False,,
file-708,JAR,False,False,False,,
file-709,PE64,False,False,False,,
file-710,PE32,False,False,False,,
file-711,PE32,False,False,False,,
file-712,PDF,False,False,False,,
file-713,Office,False,False,False,,
file-714,Office,False,False,False,,
file-715,PE32,False,False,False,,
file-716,PDF,False,False,False,,
file-717,PE64,False,False,False,,
file-718,JAR,False,False,False,,
file-719,JAR,False,False,False,,
file-720,Office,False,False,False,,
file-721,PE32,False,False,False,,
file-722,Office,False,False,False,,
file-723,JAR,False,False,False,,
file-724,PDF,False,False,False,,
file-725,PE32,False,False,False,,
file-726,Office,False,False,False,,
file-727,PE32,False,False,False,,
file-728,PDF,False,False,False,,
file-729,JAR,False,False,False,,
file-730,Office,False,False,False,,
file-731,PE32,False,False,False,,
file-732,PDF,False,False,False,,
file-733,Office,False,False,False,,
file-734,JAR,False,False,False,,
file-735,PE32,False,False,False,,
file-736,Office,False,False,False,,
file-737,Office,False,False,False,,
file-738,Office,False,False,False,,
file-739,PE32,False,False,False,,
file-740,PDF,False,False,False,,
file-741,PE64,False,False,False,,
file-742,Office,False,False,False,,
file-743,PDF,False,False,False,,
file-744,PDF,False,False,False,,
file-745,PE64,False,False,False,,
file-746,PE64,False,False,False,,
file-747,PDF,False,False,False,,
file-748,Office,False,False,False,,
file-749,PDF,False,False,False,,
file-750,PE32,False,False,False,,
file-751,PE64,False,False,False,,
file-752,PE32,False,False,False,,
file-753,JAR,False,False,False,,
file-754,PE64,False,False,False,,
file-755,PE32,False,False,False,,
file-756,PDF,False,False,False,,
file-757,PE64,False,False,False,,
file-758,PE32,False,False,False,,
file-759,JAR,False,False,False,,
file-760,PE64,False,False,False,,
file-761,PDF,False,False,False,,
file-762,PDF,False,False,False,,
file-763,Office,False,False,False,,
file-764,PDF,False,False,False,,
file-765,Office,False,False,False,,
file-766,PE32,False,False,False,,
file-767,PDF,False,False,False,,
file-768,PE64,False,False,False,,
file-769,JAR,False,False,False,,
file-770,JAR,False,False,False,,
file-771,Office,False,False,False,,
file-772,JAR,False,False,False,,
file-773,PDF,False,False,False,,
file-774,PE32,False,False,False,,
file-775,JAR,False,False,False,,
file-776,JAR,False,False,False,,
file-777,PE64,False,False,False,,
file-778,PE32,False,False,False,,
file-779,Office,False,False,False,,
file-780,JAR,False,False,False,,
file-781,PE32,False,False,False,,
file-782,JAR,False,False,False,,
file-783,PE64,False,False,False,,
file-784,PE32,False,False,False,,
file-785,PE64,False,False,False,,
file-786,JAR,False,False,False,,
